year	meanrate	num
1913	9.1	1
1922	8.0	1
1923	8.2	1
1926	7.67	3
1927	7.73	3
1928	7.15	2
1929	6.26	5
1930	7.55	2
1931	7.6	5
1932	7.18	6
1933	7.14	7
1934	7.61	7
1935	7.4	3
1936	7.6	6
1937	7.53	9
1938	7.38	6
1939	7.13	6
1940	6.8	4
1941	7.6	3
1942	7.8	2
1943	7.1	2
1944	6.4	1
1945	6.4	1
1946	6.5	1
1947	7.43	12
1948	7.81	10
1949	7.33	11
1950	6.92	8
1951	7.01	8
1952	7.5	6
1953	7.0	2
1954	7.38	6
1955	7.67	11
1956	7.75	17
1957	7.35	11
1958	7.51	22
1959	7.09	18
1960	7.59	13
1961	7.24	14
1962	7.8	17
1963	7.71	24
1964	7.15	13
1965	7.0	8
1966	7.2	1
1970	6.55	2
1971	7.67	3
1972	6.68	4
1973	6.0	2
1974	6.71	8
1975	6.12	10
1976	6.12	6
1977	6.27	3
1978	7.12	6
1979	7.14	36
1980	7.56	50
1981	7.03	48
1982	7.4	40
1983	7.36	43
1984	7.32	37
1985	7.22	46
1986	7.08	38
1987	7.04	43
1988	6.76	38
1989	6.9	51
1990	6.89	37
1991	6.79	24
1992	7.1	35
1993	6.51	34
1994	6.74	36
1995	6.94	33
1996	6.78	26
1997	7.04	21
1998	6.98	20
1999	7.03	31
2000	6.87	45
2001	6.84	43
2002	6.53	38
2003	6.87	44
2004	6.47	44
2005	6.57	66
2006	6.32	85
2007	6.33	103
2008	6.38	100
2009	6.09	125
2010	5.97	226
2011	5.72	281
2012	5.65	444
2013	5.33	396
2014	5.03	394
2015	4.7	394
2016	4.6	464
2017	4.87	295
2018	5.41	127